epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,205.947,1.68603,1.55608,2.14542,0.6225,0.59843,0.61954,0.41361,1.42509,1.46204,2.02888,0.0002972,0.0002972,0.0002972
88,209.019,1.73399,1.56323,2.12318,0.64139,0.58444,0.6295,0.40856,1.41064,1.45101,2.01705,0.0002774,0.0002774,0.0002774
89,211.584,1.76728,1.58011,2.20162,0.67173,0.55906,0.62256,0.3906,1.44559,1.46291,2.03008,0.0002576,0.0002576,0.0002576
90,213.622,1.7165,1.56302,2.19185,0.67769,0.53543,0.61107,0.36746,1.49206,1.51599,2.05835,0.0002378,0.0002378,0.0002378
91,218.241,1.6146,1.73122,2.06428,0.68803,0.52362,0.61172,0.36848,1.49148,1.52643,2.05374,0.000218,0.000218,0.000218
92,220.465,1.59528,1.76979,2.17905,0.66475,0.54331,0.59689,0.35905,1.49931,1.57688,2.05746,0.0001982,0.0001982,0.0001982
93,223.659,1.50871,1.74854,2.05447,0.65607,0.54724,0.60492,0.37171,1.46401,1.57514,2.02825,0.0001784,0.0001784,0.0001784
94,226.108,1.43025,1.65688,1.98593,0.70534,0.53543,0.62336,0.3949,1.41777,1.53363,1.98213,0.0001586,0.0001586,0.0001586
95,228.117,1.50672,1.60829,2.00878,0.73083,0.5748,0.65816,0.4234,1.38354,1.48252,1.94886,0.0001388,0.0001388,0.0001388
96,230.052,1.48514,1.63159,2.02835,0.70703,0.61811,0.67409,0.43633,1.36238,1.45032,1.92603,0.000119,0.000119,0.000119
97,232.196,1.53059,1.5967,2.05284,0.73821,0.6063,0.68559,0.44915,1.34982,1.42997,1.91235,9.92e-05,9.92e-05,9.92e-05
98,234.175,1.50263,1.63192,2.05103,0.75151,0.60726,0.68739,0.45636,1.33709,1.4224,1.9028,7.94e-05,7.94e-05,7.94e-05
99,237.287,1.56966,1.71526,2.16878,0.70836,0.61417,0.68625,0.45421,1.33068,1.41742,1.89833,5.96e-05,5.96e-05,5.96e-05
100,239.946,1.47471,1.68085,2.05322,0.7101,0.61718,0.68832,0.45739,1.32744,1.41299,1.89647,3.98e-05,3.98e-05,3.98e-05
